id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
35094480,37777829,7500.0,7500.0,7500.0, 36 months,9.49,240.22,B,B2,Owner,8 years,RENT,40000.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=35094480,,debt_consolidation,Debt consolidation,531xx,WI,25.63,0.0,Aug-1994,0.0,69.0,88.0,10.0,1.0,6361.0,43.9,29.0,f,5232.15,5232.15,2874.73,2874.73,2267.85,606.88,0.0,0.0,0.0,Jan-2016,240.22,Feb-2016,Jan-2016,0.0,69.0,1.0,INDIVIDUAL,,,,0.0,3174.0,18611.0,,,,,,,,,,,,14500.0,,,
36260758,38972123,10850.0,10850.0,10850.0, 36 months,19.24,399.04,E,E2,,n/a,OWN,32000.0,Verified,Jan-2015,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36260758,,debt_consolidation,Debt consolidation,430xx,OH,29.44,0.0,Jun-2002,1.0,65.0,,9.0,0.0,6987.0,41.6,20.0,f,0.0,0.0,2396.05,2396.05,1405.77,990.28,0.0,0.0,0.0,Aug-2015,25.0,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,972.0,53777.0,,,,,,,,,,,,16800.0,,,
36330911,39042282,12000.0,12000.0,12000.0, 36 months,11.99,398.52,B,B5,KYC Business Analyst,< 1 year,MORTGAGE,63000.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36330911,,credit_card,Credit card refinancing,432xx,OH,23.69,1.0,Jun-1995,0.0,9.0,,13.0,0.0,21110.0,69.7,61.0,f,8466.56,8466.56,4766.25,4766.25,3533.44,1232.81,0.0,0.0,0.0,Jan-2016,398.52,Feb-2016,Jan-2016,0.0,9.0,1.0,INDIVIDUAL,,,,0.0,0.0,237002.0,,,,,,,,,,,,30300.0,,,
36221446,38932858,11575.0,11575.0,11575.0, 36 months,15.59,404.61,D,D1,Manager,10+ years,RENT,25400.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36221446,,credit_card,Credit card refinancing,791xx,TX,27.08,0.0,Jul-1999,0.0,,,9.0,0.0,18266.0,65.0,18.0,f,8296.52,8296.52,4863.33,4863.33,3278.48,1584.85,0.0,0.0,0.0,Jan-2016,404.61,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,19798.0,,,,,,,,,,,,28100.0,,,
36371250,39102635,10000.0,10000.0,10000.0, 36 months,11.99,332.1,B,B5,Office Assistant,8 years,RENT,31000.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36371250,,debt_consolidation,Debt consolidation,905xx,CA,28.69,0.0,Sep-2004,0.0,,77.0,9.0,1.0,14037.0,82.1,15.0,f,7055.47,7055.47,3971.88,3971.88,2944.53,1027.35,0.0,0.0,0.0,Jan-2016,332.1,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,25274.0,,,,,,,,,,,,17100.0,,,
36441262,39152692,24000.0,24000.0,24000.0, 36 months,11.99,797.03,B,B5,Director of Maintenance,10+ years,MORTGAGE,79000.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36441262,,home_improvement,Home improvement,072xx,NJ,3.9,0.0,Mar-1974,1.0,26.0,,5.0,0.0,8621.0,84.5,23.0,f,16933.26,16933.26,9532.39,9532.39,7066.74,2465.65,0.0,0.0,0.0,Jan-2016,797.03,Feb-2016,Jan-2016,0.0,29.0,1.0,INDIVIDUAL,,,,0.0,0.0,140285.0,,,,,,,,,,,,10200.0,,,
36271333,38982739,13000.0,13000.0,13000.0, 60 months,15.99,316.07,D,D2,Radiologist Technologist,5 years,RENT,35000.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36271333,,debt_consolidation,Debt consolidation,378xx,TN,30.9,0.0,Sep-2003,0.0,,84.0,9.0,1.0,11031.0,61.3,22.0,w,11155.5,11155.5,3769.74,3769.74,1844.5,1925.24,0.0,0.0,0.0,Jan-2016,316.07,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,34178.0,,,,,,,,,,,,18000.0,,,
36490806,39222577,12000.0,12000.0,12000.0, 60 months,19.99,317.86,E,E3,Painter,1 year,RENT,64400.0,Source Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36490806,,debt_consolidation,Debt consolidation,010xx,MA,27.19,1.0,Oct-2003,2.0,22.0,,17.0,0.0,8254.0,30.6,20.0,w,10447.31,10447.31,3787.67,3787.67,1552.69,2234.98,0.0,0.0,0.0,Jan-2016,317.86,Feb-2016,Jan-2016,1.0,22.0,1.0,INDIVIDUAL,,,,0.0,0.0,58418.0,,,,,,,,,,,,27000.0,,,
36271262,38982659,20000.0,20000.0,20000.0, 36 months,11.99,664.2,B,B5,Manager Hotel Operations Oasis ,10+ years,RENT,100000.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36271262,,credit_card,Credit card refinancing,331xx,FL,10.83,0.0,Dec-2001,1.0,,110.0,8.0,1.0,33266.0,79.8,10.0,f,14110.94,14110.94,7943.76,7943.76,5889.06,2054.7,0.0,0.0,0.0,Jan-2016,664.2,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,33307.0,,,,,,,,,,,,41700.0,,,
